Product Name,URL,Price,Flipkart Assured
Samsung Series 7 138cm (55 inch) Ultra HD (4K) LED Smart TV,/samsung-series-7-138cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmf5xzy9jajvkyg?pid=TVSF5XZYUP4Y67RZ&srno=s_1_1&otracker=search&otracker1=search&lid=LSTTVSF5XZYUP4Y67RZNY8VM5&fm=organic&iid=a126054f-8b21-4609-b633-920df902f570.TVSF5XZYUP4Y67RZ.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹85,999",
Samsung 139.7cm (55 inch) Ultra HD (4K) LED Smart TV,/samsung-139-7cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmfggqbkgymah6g?pid=TVSFGGQBEVQK37YF&srno=s_1_2&otracker=search&otracker1=search&lid=LSTTVSFGGQBEVQK37YFSR4GFM&fm=organic&iid=63619151-3899-4786-b71c-21da87115694.TVSFGGQBEVQK37YF.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹58,990",
Samsung 139.7cm (55 inch) Ultra HD (4K) LED Smart TV,/samsung-139-7cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmfggqb4pyhwng5?pid=TVSFGGQBMWBHAUHV&srno=s_1_3&otracker=search&otracker1=search&lid=LSTTVSFGGQBMWBHAUHVERGDF7&fm=organic&iid=64b38d81-a8c9-47b6-a217-1e2552ac7320.TVSFGGQBMWBHAUHV.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹67,000",
Samsung 163cm (65 inch) Ultra HD (4K) LED Smart TV,/samsung-163cm-65-inch-ultra-hd-4k-led-smart-tv/p/itm442ae5a2c7000?pid=TVSFH37DHP9GZVPM&srno=s_1_4&otracker=search&otracker1=search&lid=LSTTVSFH37DHP9GZVPM1ICZ47&fm=organic&iid=en_%2FXY5u1FOBPsFGFIJEmTywD1bcuA7gqONop8thBzSxXx1HEmCk%2FwOe5hAViawAvPRJ6w16vOiMNdYFVdHxGqC6A%3D%3D&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,15,999",
Samsung The Frame 138cm (55 inch) Ultra HD (4K) QLED Smart TV,/samsung-frame-138cm-55-inch-ultra-hd-4k-qled-smart-tv/p/itmfga98hdvdhutc?pid=TVSFGA98TEJ65HKB&srno=s_1_5&otracker=search&otracker1=search&lid=LSTTVSFGA98TEJ65HKB6PUPC5&fm=organic&iid=b6ff8a77-4c5d-4b32-8698-547ef7be82c1.TVSFGA98TEJ65HKB.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹84,999",
Samsung Super 6 138cm (55 inch) Ultra HD (4K) LED Smart TV,/samsung-super-6-138cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmfdzq6xahtdzur?pid=TVSFDZQ6UPSJBGVN&srno=s_1_6&otracker=search&otracker1=search&lid=LSTTVSFDZQ6UPSJBGVNRFZ48B&fm=organic&iid=2091d518-cf1a-4b7f-97f1-f8455aa51d83.TVSFDZQ6UPSJBGVN.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹52,999",
Samsung Series 6 138cm (55 inch) Full HD Curved LED Smart TV,/samsung-series-6-138cm-55-inch-full-hd-curved-led-smart-tv/p/itmf3h7bm5yfemec?pid=TVSEVHPADCXZ9HDA&srno=s_1_7&otracker=search&otracker1=search&lid=LSTTVSEVHPADCXZ9HDASQWJA1&fm=organic&iid=c0aae9ad-56d3-46b3-9e5b-db8063954777.TVSEVHPADCXZ9HDA.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,06,200",
Samsung Q Series 138cm (55 inch) Ultra HD (4K) Curved QLED Smart TV,/samsung-q-series-138cm-55-inch-ultra-hd-4k-curved-qled-smart-tv/p/itmf5xzyegugembw?pid=TVSF5XZYXDRWRY9N&srno=s_1_8&otracker=search&otracker1=search&lid=LSTTVSF5XZYXDRWRY9NTHX64H&fm=organic&iid=eba9ffa3-f92f-41fe-b3fe-0aeec464a46a.TVSF5XZYXDRWRY9N.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹1,09,999",
Samsung 139.7cm (55 inch) Ultra HD (4K) LED Smart TV,/samsung-139-7cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmfggqbjzrpzuys?pid=TVSFGGQBRGTGNANY&srno=s_1_9&otracker=search&otracker1=search&lid=LSTTVSFGGQBRGTGNANYG3IYOT&fm=organic&iid=5a414f08-edf1-4b90-8c2f-be6b8f2e230e.TVSFGGQBRGTGNANY.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹62,450",
Samsung 138cm (55 inch) Ultra HD (4K) Curved LED Smart TV,/samsung-138cm-55-inch-ultra-hd-4k-curved-led-smart-tv/p/itmek9rs5kmmc6wh?pid=TVSEK9RSKAZKFBUX&srno=s_1_10&otracker=search&otracker1=search&lid=LSTTVSEK9RSKAZKFBUXCXAERR&fm=organic&iid=e436f39b-ee47-494a-b3c8-d42a00d89734.TVSEK9RSKAZKFBUX.SEARCH&ssid=7xrd1xkji80000001574492787583&qH=09909ad4a70de9a9,"₹2,56,999",
