Name,Data Column,Price,Prime
"OPPO F11 Pro (Thunder Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",/Thunder-Storage-Additional-Exchange-Offers/dp/B07PSHLRJ9/ref=sr_1_1?keywords=oppo+phones&qid=1573282594&sr=8-1,"₹19,990
₹19,990",/Thunder-Storage-Additional-Exchange-Offers/dp/B07PSHLRJ9/ref=sr_1_1?keywords=oppo+phones&qid=1573282594&sr=8-1
"OPPO A7 (Glaze Blue, 3GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",/A7-Storage-Additional-Exchange-Offers/dp/B07MBP65HK/ref=sr_1_2?keywords=oppo+phones&qid=1573282594&sr=8-2,"₹9,990
₹9,990",/A7-Storage-Additional-Exchange-Offers/dp/B07MBP65HK/ref=sr_1_2?keywords=oppo+phones&qid=1573282594&sr=8-2
"OPPO K3 (Aurora Blue, 8GB RAM, AMOLED Display 128GB Storage, 3765mAH Battery)",/Test-Exclusive-676/dp/B07HGLBZ9J/ref=sr_1_3?keywords=oppo+phones&qid=1573282594&sr=8-3,"₹18,990
₹18,990",/Test-Exclusive-676/dp/B07HGLBZ9J/ref=sr_1_3?keywords=oppo+phones&qid=1573282594&sr=8-3
"OPPO K3(Jade Black, 6GB RAM, AMOLED Display, 64GB Storage, 3765mAH Battery)",/OPPO-Jade-Black-64GB-Storage/dp/B07PRBMP9H/ref=sr_1_4?keywords=oppo+phones&qid=1573282594&sr=8-4,"₹16,990
₹16,990",/OPPO-Jade-Black-64GB-Storage/dp/B07PRBMP9H/ref=sr_1_4?keywords=oppo+phones&qid=1573282594&sr=8-4
"OPPO K3(Aurora Blue, 6GB RAM, AMOLED Display, 64GB Storage, 3765mAH Battery)",/OPPO-Aurora-Blue-64GB-Storage/dp/B07PQ7CXLV/ref=sr_1_5?almBrandId=ctnow&fpw=alm&keywords=oppo+phones&qid=1573282594&sr=8-5,"₹16,990
₹16,990",/OPPO-Aurora-Blue-64GB-Storage/dp/B07PQ7CXLV/ref=sr_1_5?almBrandId=ctnow&fpw=alm&keywords=oppo+phones&qid=1573282594&sr=8-5
"OPPO A9 2020 (Space Purple, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",/Purple-Storage-Additional-Exchange-Offers/dp/B07SBK2BJV/ref=sr_1_6?keywords=oppo+phones&qid=1573282594&sr=8-6,"₹19,990
₹19,990",/Purple-Storage-Additional-Exchange-Offers/dp/B07SBK2BJV/ref=sr_1_6?keywords=oppo+phones&qid=1573282594&sr=8-6
"OPPO F11 (Fluorite Purple, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",/Fluorite-Purple-Storage-Additional-Exchange/dp/B07PTLD8P9/ref=sr_1_7?keywords=oppo+phones&qid=1573282594&sr=8-7,"₹16,990
₹16,990",/Fluorite-Purple-Storage-Additional-Exchange/dp/B07PTLD8P9/ref=sr_1_7?keywords=oppo+phones&qid=1573282594&sr=8-7
"OPPO A5S (Green, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",/Green-Storage-Additional-Exchange-Offers/dp/B07PRBKRNJ/ref=sr_1_8?keywords=oppo+phones&qid=1573282594&sr=8-8,"₹10,990
₹10,990",/Green-Storage-Additional-Exchange-Offers/dp/B07PRBKRNJ/ref=sr_1_8?keywords=oppo+phones&qid=1573282594&sr=8-8
"OPPO Reno2 Z (Luminous Black, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",/Luminous-Storage-Additional-Exchange-Offers/dp/B07SDP1XFY/ref=sr_1_11?keywords=oppo+phones&qid=1573282594&smid=A14CZOWI0VEHLG&sr=8-11,"₹27,990
₹27,990",/Luminous-Storage-Additional-Exchange-Offers/dp/B07SDP1XFY/ref=sr_1_11?keywords=oppo+phones&qid=1573282594&smid=A14CZOWI0VEHLG&sr=8-11
"OPPO Reno2 F (Lake Green, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",/Reno2-Storage-Additional-Exchange-Offers/dp/B07XBYF7DL/ref=sr_1_12?keywords=oppo+phones&qid=1573282594&sr=8-12,"₹23,990
₹23,990",/Reno2-Storage-Additional-Exchange-Offers/dp/B07XBYF7DL/ref=sr_1_12?keywords=oppo+phones&qid=1573282594&sr=8-12
